phase,algo,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,45,2026-07-08T11:43:15,252.478,53700.0,92800.0,133300.0,158500.0,57941.37380191693,5639,5634,5,1127.8,1.0,"{""200"": 5634, ""503"": 5}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,46,2026-07-08T11:43:20,257.478,53400.0,95900.0,142200.0,166500.0,58661.567164179105,5633,5628,5,1126.6,1.0,"{""200"": 5628, ""503"": 5}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,47,2026-07-08T11:43:25,262.478,53300.0,94000.0,135100.0,167900.0,58036.884057971016,5528,5520,8,1105.6,1.6,"{""200"": 5520, ""503"": 8}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,0,2026-07-08T11:44:05,302.467,52900.0,92000.0,132400.0,161300.0,57399.111030478954,5520,5512,8,1104.0,1.6,"{""200"": 5512, ""503"": 8}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,1,2026-07-08T11:44:10,307.467,53600.0,94100.0,134500.0,159600.0,57958.75155169356,5640,5639,1,1128.0,0.2,"{""200"": 5639, ""503"": 1}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,2,2026-07-08T11:44:15,312.467,53900.0,94000.0,136300.0,164200.0,58210.02310289675,5640,5627,13,1128.0,2.6,"{""200"": 5627, ""503"": 13}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,3,2026-07-08T11:44:20,317.467,53200.0,93800.0,137800.0,164600.0,58000.95829636202,5640,5635,5,1128.0,1.0,"{""200"": 5635, ""503"": 5}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,4,2026-07-08T11:44:25,322.467,53100.0,93300.0,136900.0,161200.0,57713.34636573663,5640,5627,13,1128.0,2.6,"{""200"": 5627, ""503"": 13}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,5,2026-07-08T11:44:30,327.467,53400.0,93500.0,135100.0,162000.0,57749.57325746799,5632,5624,8,1126.4,1.6,"{""200"": 5624, ""503"": 8}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,6,2026-07-08T11:44:35,332.467,53600.0,94400.0,137600.0,165400.0,58126.843971631206,5646,5640,6,1129.2,1.2,"{""200"": 5640, ""503"": 6}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,7,2026-07-08T11:44:40,337.467,53400.0,94300.0,136000.0,168600.0,58190.73771977524,5522,5517,5,1104.4,1.0,"{""200"": 5517, ""503"": 5}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,8,2026-07-08T11:44:45,342.467,52600.0,92500.0,135200.0,159400.0,57481.905268759976,5640,5637,3,1128.0,0.6,"{""200"": 5637, ""503"": 3}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,9,2026-07-08T11:44:50,347.467,52800.0,94400.0,138400.0,164200.0,57839.009232954544,5640,5632,8,1128.0,1.6,"{""200"": 5632, ""503"": 8}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,10,2026-07-08T11:44:55,352.467,53900.0,95800.0,141400.0,168400.0,58956.8359375,5640,5632,8,1128.0,1.6,"{""200"": 5632, ""503"": 8}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,11,2026-07-08T11:45:00,357.467,53000.0,93400.0,134200.0,163900.0,57546.77304964539,5640,5640,0,1128.0,0.0,"{""200"": 5640}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,12,2026-07-08T11:45:05,362.467,53700.0,94800.0,140600.0,165600.0,58509.6269982238,5637,5630,7,1127.4,1.4,"{""200"": 5630, ""503"": 7}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,13,2026-07-08T11:45:10,367.467,52000.0,93200.0,136100.0,160000.0,57042.34250221828,5639,5635,4,1127.8,0.8,"{""200"": 5635, ""503"": 4}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,14,2026-07-08T11:45:15,372.467,53900.0,97300.0,141500.0,170200.0,59017.01598579041,5640,5630,10,1128.0,2.0,"{""200"": 5630, ""503"": 10}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,15,2026-07-08T11:45:20,377.467,53600.0,93600.0,138100.0,175000.0,57944.3054044251,5524,5514,10,1104.8,2.0,"{""200"": 5514, ""503"": 10}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,16,2026-07-08T11:45:25,382.467,53500.0,94300.0,137200.0,160000.0,58243.623445825935,5640,5630,10,1128.0,2.0,"{""200"": 5630, ""503"": 10}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,17,2026-07-08T11:45:30,387.467,53900.0,95200.0,141300.0,170800.0,59228.50550230742,5640,5634,6,1128.0,1.2,"{""200"": 5634, ""503"": 6}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,18,2026-07-08T11:45:35,392.467,52800.0,95500.0,138200.0,157500.0,58059.69143465153,5640,5639,1,1128.0,0.2,"{""200"": 5639, ""503"": 1}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,19,2026-07-08T11:45:40,397.467,52800.0,92600.0,138400.0,169400.0,57359.3105899076,5639,5628,11,1127.8,2.2,"{""200"": 5628, ""503"": 11}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,20,2026-07-08T11:45:45,402.467,52700.0,93100.0,138600.0,162900.0,57447.03585374512,5641,5634,7,1128.2,1.4,"{""200"": 5634, ""503"": 7}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,21,2026-07-08T11:45:50,407.467,53100.0,94300.0,140300.0,171800.0,58098.383084577115,5640,5628,12,1128.0,2.4,"{""200"": 5628, ""503"": 12}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,22,2026-07-08T11:45:55,412.467,52900.0,93300.0,135400.0,161300.0,57467.506654835845,5637,5635,2,1127.4,0.4,"{""200"": 5635, ""503"": 2}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,23,2026-07-08T11:46:00,417.467,53400.0,92800.0,137400.0,164600.0,57666.226005070625,5523,5522,1,1104.6,0.2,"{""200"": 5522, ""503"": 1}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,24,2026-07-08T11:46:05,422.467,53200.0,92400.0,136000.0,169800.0,57756.61215783861,5640,5626,14,1128.0,2.8,"{""200"": 5626, ""503"": 14}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,25,2026-07-08T11:46:10,427.467,53800.0,94300.0,134200.0,166700.0,58424.1918294849,5640,5630,10,1128.0,2.0,"{""200"": 5630, ""503"": 10}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,26,2026-07-08T11:46:15,432.467,53200.0,95800.0,135800.0,158800.0,58155.20056798012,5640,5634,6,1128.0,1.2,"{""200"": 5634, ""503"": 6}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,27,2026-07-08T11:46:20,437.467,53400.0,92800.0,139000.0,164600.0,57897.3276322822,5640,5613,27,1128.0,5.4,"{""200"": 5613, ""503"": 27}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,28,2026-07-08T11:46:25,442.467,53800.0,95500.0,134700.0,160900.0,58380.827267885674,5640,5633,7,1128.0,1.4,"{""200"": 5633, ""503"": 7}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,29,2026-07-08T11:46:30,447.467,52900.0,94900.0,140000.0,161800.0,57730.64487475573,5639,5629,10,1127.8,2.0,"{""200"": 5629, ""503"": 10}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,30,2026-07-08T11:46:35,452.467,53300.0,93600.0,134300.0,161400.0,57758.79325643301,5636,5635,1,1127.2,0.2,"{""200"": 5635, ""503"": 1}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,31,2026-07-08T11:46:40,457.467,54200.0,92900.0,133900.0,160100.0,58099.873119448974,5525,5517,8,1105.0,1.6,"{""200"": 5517, ""503"": 8}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,32,2026-07-08T11:46:45,462.467,53200.0,95700.0,144900.0,166900.0,58431.16790912318,5640,5634,6,1128.0,1.2,"{""200"": 5634, ""503"": 6}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,33,2026-07-08T11:46:50,467.467,53300.0,95200.0,139800.0,165100.0,58304.05189266039,5640,5627,13,1128.0,2.6,"{""200"": 5627, ""503"": 13}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,34,2026-07-08T11:46:55,472.467,53800.0,94000.0,135000.0,161700.0,58352.911931818184,5640,5632,8,1128.0,1.6,"{""200"": 5632, ""503"": 8}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,35,2026-07-08T11:47:00,477.467,54200.0,95200.0,134900.0,167900.0,58754.35633001423,5639,5624,15,1127.8,3.0,"{""200"": 5624, ""503"": 15}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,36,2026-07-08T11:47:05,482.467,53000.0,94300.0,139300.0,165900.0,57895.545696539484,5641,5635,6,1128.2,1.2,"{""200"": 5635, ""503"": 6}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,37,2026-07-08T11:47:10,487.467,53000.0,95800.0,136600.0,167200.0,58003.64120781528,5637,5630,7,1127.4,1.4,"{""200"": 5630, ""503"": 7}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,38,2026-07-08T11:47:15,492.467,53000.0,93500.0,137100.0,158800.0,57595.95314164004,5640,5634,6,1128.0,1.2,"{""200"": 5634, ""503"": 6}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,39,2026-07-08T11:47:20,497.467,53600.0,94800.0,137000.0,165200.0,58174.124478316095,5523,5511,12,1104.6,2.4,"{""200"": 5511, ""503"": 12}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,40,2026-07-08T11:47:25,502.467,53700.0,94700.0,135700.0,163800.0,58342.50444049734,5640,5630,10,1128.0,2.0,"{""200"": 5630, ""503"": 10}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,5,41,2026-07-08T11:47:30,507.467,53100.0,94800.0,139900.0,167800.0,57886.19098331558,5640,5634,6,1128.0,1.2,"{""200"": 5634, ""503"": 6}"
