phase,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,timestamp,elapsed_s,rif_p50,rif_p90,rif_p99,rif_limit,sample_count,rif_values
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:47.386,44.169,0.0,3.0,8.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 4.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:47.888,44.671,2.0,6.0,6.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 6.0, 6.0, 6.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:48.393,45.175,6.0,9.0,13.0,2.0,20,"[2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 8.0, 9.0, 9.0, 10.0, 13.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:48.895,45.677,0.0,1.0,2.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:49.396,46.179,1.0,4.0,5.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:49.898,46.68,4.0,7.0,10.0,0.0,20,"[0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 7.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:50.403,47.185,5.0,9.0,12.0,2.0,20,"[2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 8.0, 8.0, 8.0, 9.0, 9.0, 10.0, 12.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:50.904,47.687,0.0,1.0,5.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 5.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:51.406,48.189,3.0,5.0,8.0,0.0,20,"[0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 7.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:51.910,48.693,5.0,9.0,11.0,2.0,20,"[2.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 8.0, 9.0, 9.0, 10.0, 11.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:52.412,49.194,0.0,1.0,4.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 4.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:52.914,49.696,1.0,4.0,8.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:53.415,50.198,4.0,8.0,8.0,0.0,20,"[0.0, 1.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 8.0, 8.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:53.918,50.7,5.0,7.0,10.0,1.0,20,"[1.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:54.419,51.202,0.0,1.0,2.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:54.921,51.703,4.0,8.0,9.0,0.0,20,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 8.0, 8.0, 9.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:55.424,52.207,5.0,7.0,9.0,1.0,20,"[1.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0, 8.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:55.926,52.708,0.0,3.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 6.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:56.428,53.21,1.0,3.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:56.930,53.713,5.0,8.0,9.0,1.0,20,"[1.0, 1.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:57.444,54.226,4.0,8.0,9.0,3.0,20,"[3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 7.0, 8.0, 9.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:57.947,54.729,0.0,4.0,6.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 6.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:58.449,55.231,2.0,8.0,10.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 4.0, 7.0, 7.0, 8.0, 9.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:58.955,55.737,6.0,7.0,10.0,2.0,20,"[2.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:59.456,56.239,0.0,2.0,5.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:59.958,56.74,0.0,6.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 6.0, 6.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:00.459,57.242,4.0,6.0,9.0,2.0,20,"[2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 6.0, 6.0, 6.0, 6.0, 9.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:00.965,57.747,4.0,8.0,10.0,2.0,20,"[2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 7.0, 8.0, 8.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:01.467,58.249,0.0,2.0,4.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 4.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:01.968,58.751,2.0,7.0,8.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 5.0, 6.0, 7.0, 7.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:02.470,59.253,6.0,9.0,9.0,1.0,20,"[1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:02.972,59.754,0.0,1.0,4.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 4.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:03.474,60.256,0.0,5.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 3.0, 3.0, 3.0, 5.0, 5.0, 6.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:03.975,60.758,4.0,10.0,12.0,0.0,20,"[0.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 6.0, 6.0, 6.0, 7.0, 7.0, 8.0, 10.0, 10.0, 12.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:04.478,61.26,2.0,4.0,6.0,0.0,20,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 6.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:04.979,61.762,0.0,3.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 3.0, 6.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:05.481,62.263,4.0,6.0,8.0,1.0,20,"[1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 7.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:05.988,62.771,5.0,8.0,10.0,1.0,20,"[1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:06.490,63.272,0.0,0.0,6.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 6.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:40:06.992,63.774,1.0,4.0,5.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0]"
