phase,algo,servers,load_frac,load_pct,probe_rate,probe_label,effective_async_probes,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,40,2026-07-06T07:29:25.489,497.734,12300.0,47900.0,57900.0,84800.0,19345.155246252678,3736,3736,0,747.2,0.0,"{""200"": 3736}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,41,2026-07-06T07:29:30.489,502.734,12200.0,47800.0,59600.0,86000.0,19412.04174471501,3737,3737,0,747.4,0.0,"{""200"": 3737}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,42,2026-07-06T07:29:35.489,507.734,12300.0,47700.0,56200.0,94800.0,19217.210920770878,3736,3736,0,747.2,0.0,"{""200"": 3736}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,43,2026-07-06T07:29:40.489,512.734,12400.0,47700.0,59200.0,87400.0,19252.747252747253,3731,3731,0,746.2,0.0,"{""200"": 3731}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,44,2026-07-06T07:29:45.489,517.734,12300.0,48300.0,61400.0,92500.0,19725.912017167382,3728,3728,0,745.6,0.0,"{""200"": 3728}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,45,2026-07-06T07:29:50.489,522.734,12400.0,47600.0,56400.0,87600.0,19337.496656860123,3739,3739,0,747.8,0.0,"{""200"": 3739}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,46,2026-07-06T07:29:55.489,527.734,12400.0,48100.0,57400.0,86400.0,19338.21638993037,3734,3734,0,746.8,0.0,"{""200"": 3734}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,47,2026-07-06T07:30:00.489,532.734,12400.0,48200.0,58100.0,87700.0,19552.62172284644,3738,3738,0,747.6,0.0,"{""200"": 3738}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,0,2026-07-06T07:30:36.797,569.043,12300.0,48600.0,61100.0,89400.0,19813.308087638627,3697,3697,0,739.4,0.0,"{""200"": 3697}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,1,2026-07-06T07:30:41.797,574.043,12300.0,48400.0,57700.0,86900.0,19442.17286593524,3737,3737,0,747.4,0.0,"{""200"": 3737}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,2,2026-07-06T07:30:46.797,579.043,12200.0,48100.0,60500.0,90700.0,19468.418230563002,3730,3730,0,746.0,0.0,"{""200"": 3730}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,3,2026-07-06T07:30:51.797,584.043,12300.0,47700.0,60000.0,88400.0,19543.428111587982,3728,3728,0,745.6,0.0,"{""200"": 3728}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,4,2026-07-06T07:30:56.797,589.043,12300.0,48500.0,60600.0,91900.0,19547.948511665327,3729,3729,0,745.8,0.0,"{""200"": 3729}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,5,2026-07-06T07:31:01.797,594.043,12300.0,48100.0,61800.0,86000.0,19757.851018220794,3732,3732,0,746.4,0.0,"{""200"": 3732}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,6,2026-07-06T07:31:06.797,599.043,12300.0,48200.0,59500.0,85600.0,19445.529978586725,3736,3736,0,747.2,0.0,"{""200"": 3736}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,7,2026-07-06T07:31:11.797,604.043,12300.0,48300.0,57000.0,80900.0,19649.73276322822,3742,3742,0,748.4,0.0,"{""200"": 3742}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,8,2026-07-06T07:31:16.797,609.043,12300.0,48400.0,60300.0,88800.0,19388.397642015007,3732,3732,0,746.4,0.0,"{""200"": 3732}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,9,2026-07-06T07:31:21.797,614.043,12300.0,48300.0,60400.0,88000.0,19558.565310492504,3736,3736,0,747.2,0.0,"{""200"": 3736}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,10,2026-07-06T07:31:26.797,619.043,12300.0,47900.0,57900.0,89400.0,19465.25582641307,3733,3733,0,746.6,0.0,"{""200"": 3733}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,11,2026-07-06T07:31:31.797,624.043,12600.0,48400.0,63100.0,88400.0,19781.452693647814,3731,3731,0,746.2,0.0,"{""200"": 3731}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,12,2026-07-06T07:31:36.797,629.043,12300.0,47700.0,57600.0,88200.0,19598.258773104742,3733,3733,0,746.6,0.0,"{""200"": 3733}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,13,2026-07-06T07:31:41.797,634.043,12300.0,47800.0,57800.0,85100.0,19615.95289079229,3736,3736,0,747.2,0.0,"{""200"": 3736}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,14,2026-07-06T07:31:46.797,639.043,12300.0,48300.0,60500.0,91500.0,19608.94483128013,3734,3734,0,746.8,0.0,"{""200"": 3734}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,15,2026-07-06T07:31:51.797,644.043,12300.0,48100.0,56500.0,89500.0,19621.05967353492,3737,3737,0,747.4,0.0,"{""200"": 3737}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,16,2026-07-06T07:31:56.797,649.043,12300.0,48300.0,55800.0,86800.0,19090.189788826516,3741,3741,0,748.2,0.0,"{""200"": 3741}"
3,prequal,20,1.5,150,2.0,2,2,750,30,5,17,2026-07-06T07:32:01.797,654.043,12300.0,47900.0,56200.0,86900.0,19368.39710998127,3737,3737,0,747.4,0.0,"{""200"": 3737}"
